"Subno"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"nCoders"	"julNotes"	"racNotes"	"tayNotes"
54	0.979926414890163	0.985151989633389	924.1	85.315	905.55	86.17	912.3	87.64	926.05	83.71	2	NA	NA	NA
55	0.972708491899532	0.944358987959476	919.7	83.385	894.6	80.96	890.2	79.22	942.65	88.09	2	"both ring fingers bent"	NA	NA
56	1.00502232142857	0.947351333802284	896	77.13	900.5	88.18	875.4	87.415	924.05	82.225	2	NA	NA	NA
57	1.00566604340189	0.983014623172103	882.45	85.8	887.45	86.705	873.9	86.85	889	89.775	2	NA	NA	NA
58	0.965472616212858	0.939609959773919	965.9	82.025	932.55	89.665	922.65	87.855	981.95	85.21	2	NA	NA	NA
59	0.936028659160696	0.948566437159593	977	89.855	914.5	82.43	923.05	89.54	973.1	89.295	2	NA	NA	NA
60	0.884138009565019	0.918967832331134	878.2	87.025	776.45	88.05	787.05	89.535	856.45	87.355	2	NA	NA	NA
61	0.957370802572041	0.964158977998581	839.8	82.195	804	89.93	815.1	87.045	845.4	81.67	2	NA	NA	NA
62	1.00509832483613	0.988702856149702	892.45	86.175	897	82.6	853.3	85.365	863.05	86.53	2	NA	NA	NA
63	0.952614082804473	0.9694408720681	827.25	81.945	788.05	89.525	791.5	82.375	816.45	74.59	2	NA	NA	NA
64	0.996770199709318	0.988871813894335	928.85	85.525	925.85	85.51	933.05	89.325	943.55	86.87	2	NA	NA	NA
65	1.03761074274252	1.01675643327349	897.35	87.48	931.1	89.14	934.45	85.46	919.05	85.725	2	NA	NA	NA
66	0.928696925329429	0.956373853889382	1024.5	86.42	951.45	83.605	970.05	82.625	1014.3	87.12	2	NA	NA	NA
67	0.976479855953185	0.971093445994775	888.6	85.615	867.7	88.915	873.45	87.365	899.45	88.38	2	NA	NA	NA
68	0.980295286768881	0.961367348088078	880.5	86.68	863.15	80.395	853.55	72.055	887.85	80.63	2	NA	NA	NA
69	0.959786232075771	0.919153329891585	944.95	84.445	906.95	86.3	890.2	88.745	968.5	80.79	2	NA	NA	NA
70	0.971489954709093	0.976230408883234	861.1	89.375	836.55	89.35	844	88.03	864.55	82.965	2	NA	NA	NA
71	0.94702581369248	0.931684733514002	891	86.69	843.8	83.295	825.1	89.1	885.6	87.93	2	NA	NA	NA
72	0.937900704710433	0.935748792270531	943.65	82.695	885.05	89.445	871.65	83.775	931.5	89.755	2	NA	NA	NA
73	0.95208931765216	0.92885666246322	922.55	89.505	878.35	82.35	883.9	87.47	951.6	86.685	2	NA	NA	NA
74	0.937472534371273	0.968095967330271	796.45	83.62	746.65	78.835	758.6	85.73	783.6	89.385	2	NA	NA	NA
75	0.96039965882783	0.932287954383464	820.7	81.425	788.2	88.8	784.8	81.425	841.8	80.425	2	NA	NA	NA
76	0.957331668227703	0.943089430894309	960.9	86.9	919.9	85.86	899	89.81	953.25	82.705	2	NA	NA	NA
77	0.986665221162186	0.967031751299923	922.4	85.09	910.1	87.23	874.1	75.96	903.9	79.93	2	NA	NA	NA
